Year,Exporting Country Code,Importing Country Code,$ in thousands
2019,US,ID,2554203
2019,US,AE,1687053
2019,US,SA,1629395
2019,US,EG,1607079
2019,US,MY,1185318
2019,IN,IR,2763405
2019,IN,AE,1950850
2019,IN,SA,1877810
2019,IN,MY,954621
2019,IN,BD,922711
2019,BR,IR,2208057
2019,BR,SA,1690767
2019,BR,EG,1372454
2019,BR,AE,1139004
2019,BR,DZ,935733
2019,FR,DZ,2217542
2019,FR,AE,1091137
2019,FR,SA,1038472
2019,FR,MA,1023033
2019,FR,TR,769998
2019,RU,TR,2464429
2019,RU,KZ,1905174
2019,RU,EG,1470436
2019,RU,IR,963284
2019,RU,AZ,665871
2019,CN,MY,3176202
2019,CN,ID,2508588
2019,CN,BD,598818
2019,CN,AE,567411
2019,CN,TR,533541
2019,AR,ID,1554254
2019,AR,DZ,1479083
2019,AR,EG,899073
2019,AR,MY,867690
2019,AR,SA,849821
2019,AE,SA,2849984
2019,AE,IR,1432236
2019,AE,KW,1331001
2019,AE,OM,1223835
2019,AE,IQ,904282
2019,DE,TR,1509546
2019,DE,SA,1187035
2019,DE,AE,908737
2019,DE,EG,488590
2019,DE,IR,447604
2019,TR,IQ,2460423
2019,TR,SY,598837
2019,TR,SA,511535
2019,TR,AE,332900
2019,TR,LY,317953
