Year,Exporting Country Code,Exporting $ in thousands,Importing Country Code,Importing $ in thousands
2019,CN,5159616,,
2019,CN,,SA,667355
2019,CN,,AE,614884
2019,CN,,NG,471030
2019,JP,2146856,,
2019,JP,,ID,513322
2019,JP,,AE,291668
2019,JP,,MY,222124
2019,TH,2083740,,
2019,TH,,MY,972215
2019,TH,,ID,230289
2019,TH,,TR,163133
2019,KR,1631312,,
2019,KR,,MY,594130
2019,KR,,ID,264636
2019,KR,,SA,203596
2019,DE,875936,,
2019,DE,,TR,319318
2019,DE,,AE,90110
2019,DE,,MY,77380
2019,US,813987,,
2019,AE,781139,,
2019,IN,729202,,
2019,MY,567218,,
2019,RU,534403,,
2019,TR,492498,,
2019,ID,488049,,
2019,TW,463965,,
2019,FR,459271,,
2019,IT,456172,,
2019,CI,372766,,
2019,VN,330332,,
2019,ES,319538,,
2019,GB,259734,,
2019,PL,238407,,
2019,NL,227431,,
2019,SG,216783,,
2019,BE,214557,,
2019,RO,199547,,
2019,CZ,183789,,
2019,SK,136962,,
2019,BR,106945,,
2019,PH,103623,,
2019,HU,77453,,
2019,SA,77363,,
2019,LK,70261,,
2019,EG,62687,,
2019,RS,62162,,
2019,PT,61053,,
2019,ZA,58273,,
2019,MM,51184,,
2019,SE,43716,,
2019,MX,42588,,
2019,CA,38461,,
2019,LU,33245,,
2019,SI,33004,,
2019,BY,30397,,
2019,AU,26745,,
2019,GH,24152,,
2019,HK,21194,,
2019,AT,19782,,
2019,CH,18814,,
2019,LR,18399,,
2019,XX,18364,,
2019,PK,16779,,
2019,TT,15020,,
2019,KH,14628,,
2019,IR,14229,,
2019,UA,14000,,
2019,NO,13606,,
2019,DK,13363,,
2019,BH,13274,,
2019,FI,11238,,
2019,LT,10391,,
2019,BG,10374,,
2019,GE,10356,,
2019,LV,10015,,
2019,XX,9667,,
2019,XX,9443,,
2019,GR,7133,,
2019,TN,6591,,
2019,PG,6590,,
2019,IE,6029,,
2019,EU,5475,,
2019,OM,3856,,
2019,AR,3786,,
2019,MA,3586,,
2019,SN,3526,,
2019,NG,3513,,
2019,HR,3064,,
2019,KZ,2911,,
2019,QA,2870,,
2019,EE,1998,,
2019,MT,1928,,
2019,GT,1849,,
2019,BD,1758,,
2019,UZ,1525,,
2019,CG,1493,,
2019,LB,1323,,
2019,CR,1320,,
2019,KG,1299,,
2019,CD,1288,,
2019,CM,1067,,
2019,GN,1053,,
2019,KE,941,,
2019,IL,833,,
2019,CL,800,,
2019,CY,736,,
2019,PA,683,,
2019,JO,671,,
2019,ML,669,,
2019,NZ,628,,
2019,TG,626,,
2019,WS,612,,
2019,CW,583,,
2019,DZ,539,,
2019,LA,474,,
2019,VC,429,,
2019,BF,408,,
2019,KP,404,,
2019,KW,383,,
2019,PE,284,,
2019,EC,283,,
2019,VG,268,,
2019,GA,267,,
2019,BA,264,,
2019,MU,256,,
2019,AO,180,,
2019,SZ,165,,
2019,AD,156,,
2019,MO,155,,
2019,DO,151,,
2019,SY,148,,
2019,SR,139,,
2019,MK,123,,
2019,HN,122,,
2019,UY,121,,
2019,RW,102,,
2019,SC,101,,
2019,CO,101,,
2019,AW,99,,
2019,FJ,96,,
2019,SD,85,,
2019,BJ,82,,
2019,AL,71,,
2019,TJ,70,,
2019,ZW,63,,
2019,IS,62,,
2019,UG,58,,
2019,NR,49,,
2019,ZM,44,,
2019,MR,41,,
2019,MD,39,,
2019,VE,37,,
2019,NP,36,,
2019,CV,34,,
2019,TZ,33,,
2019,MV,31,,
2019,BZ,29,,
2019,BW,28,,
2019,AF,24,,
2019,MG,22,,
2019,LY,22,,
2019,BO,21,,
2019,ET,19,,
2019,NA,17,,
2019,IQ,17,,
2019,NE,16,,
2019,BN,15,,
2019,ST,15,,
2019,UM,14,,
2019,JM,12,,
2019,GM,12,,
2019,AM,11,,
2019,KY,10,,
2019,XX,10,,
2019,ME,10,,
2019,MS,9,,
2019,MH,9,,
2019,MP,8,,
2019,SL,8,,
2019,TV,8,,
2019,NI,7,,
2019,AG,7,,
2019,DM,6,,
2019,GY,5,,
2019,AI,5,,
2019,TM,4,,
2019,GI,3,,
2019,MN,3,,
2019,FO,3,,
2019,CC,2,,
2019,TD,2,,
2019,AZ,2,,
2019,TC,2,,
2019,TK,2,,
2019,NU,2,,
2019,TL,1,,
2019,SH,1,,
2019,KN,1,,
2019,SO,1,,
2019,AS,1,,
2019,BB,1,,
2019,BS,1,,
2019,CF,1,,
2019,SB,1,,
2019,DJ,1,,
2019,PF,1,,
2019,MW,1,,
2019,NC,1,,
2019,VU,1,,
2019,GD,1,,
2019,GU,0,,
2019,PS,0,,
2019,HT,0,,
2019,LS,0,,
2019,MZ,0,,
2019,ER,0,,
2019,SV,0,,
2019,GQ,0,,
2019,KM,0,,
2019,CX,0,,
2019,CK,0,,
2019,CU,0,,
2019,BI,0,,
2019,BM,0,,
2019,BT,0,,
2019,SS,0,,
2019,XX,0,,
2019,LC,0,,
2019,NF,0,,
2019,PW,0,,
2019,GW,0,,
2019,PY,0,,
2019,WF,0,,
2019,YE,0,,
2019,FM,0,,
2019,XX,0,,
2019,XX,0,,
2019,TO,0,,
2019,XX,0,,
2019,TF,0,,
2019,FK,0,,
2019,KI,0,,
2019,AI,0,,
2019,EH,0,,
2019,BQ,0,,
2019,GL,0,,
2019,XX,0,,
2019,BT,0,,
2019,FO,0,,
2019,TF,0,,
